gene_id	gene_name	alpha	cv_mse	lambda_iteration	lambda_min	n_snps_in_model	cv_R2_avg	cv_R2_sd	in_sample_R2	pred_perf_R2	pred_perf_pval
ENSG00000206195.10	DUXAP8	0.5	0.984418142662822	1	0.203968800905127	0	NA	NA	NA	NA	NA
ENSG00000272872.1	LL22NC03-N14H11.1	0.5	0.968841135064985	1	0.184246980036918	0	NA	NA	NA	NA	NA
ENSG00000100181.22	TPTEP1	0.5	0.891547549024582	15	0.124430203348357	19	0.0857296687737319	0.0804092071971253	0.173755902490034	0.0726855315305266	4.04590415678579e-06
ENSG00000283633.1	AC005301.9	0.5	0.897964458175235	15	0.160780919214761	9	0.0688520583046122	0.0879754195382418	0.141898857369956	0.0676040625682904	9.03837322708439e-06
ENSG00000241717.1	VWFP1	0.5	0.984182003365272	1	0.281847502417161	0	NA	NA	NA	NA	NA
ENSG00000230481.2	IGKV1OR22-5	0.5	0.970140216599539	1	0.330337142905504	0	NA	NA	NA	NA	NA
ENSG00000253691.2	IGKV2OR22-4	0.5	0.974355197779337	1	0.327189274388229	0	NA	NA	NA	NA	NA
ENSG00000237438.7	CECR7	0.5	0.517967796723975	26	0.107044618128544	30	0.476438331911923	0.0769212762553971	0.541972037579986	0.478753258102589	8.66638646933004e-42
ENSG00000273203.1	AC006946.16	0.5	0.930050972184348	10	0.224361127988863	7	0.048939354037151	0.0298506704446421	0.0813579387828807	0.0555731846359977	6.02266707055922e-05
ENSG00000273442.1	AC006946.17	0.5	0.969929587142987	1	0.330984105321941	0	NA	NA	NA	NA	NA
ENSG00000177663.13	IL17RA	0.5	0.782158756245381	19	0.137288204736068	24	0.169484851901621	0.187825339806153	0.309875171015335	0.189359662984568	1.50053565793457e-14
ENSG00000183307.3	CECR6	0.5	0.967917304427458	1	0.314439994044333	0	NA	NA	NA	NA	NA
ENSG00000069998.12	HDHD5	0.5	0.948532911314581	13	0.142691782726172	30	0.0269985467712864	0.0976253854169343	0.186985062466403	0.0337055399848006	0.00189170146280449
ENSG00000185837.3	CECR5-AS1	0.5	0.969654385281356	5	0.236310259200706	4	-0.00121598758374247	0.0181608492363008	0.0268927018481725	0.000893182432047959	0.615990245478135
ENSG00000093072.15	CECR1	0.5	0.754800464418812	21	0.152097274099092	15	0.212988976443554	0.132234032372301	0.295287647918495	0.222241307828816	4.04527533537251e-17
ENSG00000099954.18	CECR2	0.5	0.964611294152413	4	0.254389001619102	10	-0.0181523945315176	0.0207486895039963	0.0278520041960376	0.00502683183990909	0.233629847322481
ENSG00000182902.13	SLC25A18	0.5	0.9829730145226	9	0.137439334409199	31	-0.0246557026638513	0.0712016401630673	0.168749698907067	0.00473720608734441	0.24761762525257
ENSG00000236754.5	AC004019.13	0.5	0.97842845265648	1	0.320634566905929	0	NA	NA	NA	NA	NA
ENSG00000131100.12	ATP6V1E1	0.5	0.94573649109028	8	0.269550972099405	7	0.0149652897897751	0.0309074707438621	0.0523360171165858	0.0132775013414022	0.0524089861065565
ENSG00000099968.17	BCL2L13	0.5	0.972220502717169	4	0.306801834348768	3	-0.00621918743359391	0.0201894233179406	0.0203518944076875	0.00075003969822713	0.645816174748059
ENSG00000015475.18	BID	0.5	0.984553834781532	1	0.346485543579601	0	NA	NA	NA	NA	NA
ENSG00000269220.1	LINC00528	0.5	0.96639861130129	1	0.295428271096592	0	NA	NA	NA	NA	NA
ENSG00000243156.7	MICAL3	0.5	0.933702842472775	10	0.221827534821389	6	0.038689219570525	0.0758144379577054	0.0832981843759606	0.0313617569382968	0.00274479947162479
ENSG00000234913.1	XXbac-B476C20.13	0.5	0.968693409548662	7	0.202256277800448	12	8.72916062363949e-05	0.0613289208837455	0.0781401793980576	0.00269278893064071	0.383627861623137
ENSG00000235295.1	LINC01634	0.5	0.955909541061024	9	0.200193852153707	17	0.0136000404995459	0.0608789203324741	0.0883961009270638	0.0188610427202217	0.0206024035740281
ENSG00000225335.3	XXbac-B476C20.9	0.5	0.963630818547983	6	0.239493411919578	6	0.00661629389411122	0.0311822335137433	0.0476060978578667	0.00658702148004556	0.172580345430443
ENSG00000215193.12	PEX26	0.5	0.9757065093787	1	0.284069399466752	0	NA	NA	NA	NA	NA
ENSG00000183785.14	TUBA8	0.5	0.977781993802981	1	0.352609875954008	0	NA	NA	NA	NA	NA
ENSG00000280007.1	AC008079.10	0.5	0.947736292629516	9	0.229834311360168	6	0.0154975324475816	0.0386179852422203	0.0585422266455948	0.0158034740653963	0.0342090999396568
ENSG00000184979.9	USP18	0.5	0.980538684616221	6	0.198902470794075	7	-0.0168911728259642	0.0366889578788475	0.0394242751986112	0.00151760620500521	0.513202739950675
ENSG00000278558.4	TMEM191B	0.5	0.972322692660053	12	0.14256084222866	25	0.00350602236332426	0.0725020522122061	0.130072671511604	0.0159930659910288	0.0331414849369054
ENSG00000274602.4	PI4KAP1	0.5	0.953028328250218	9	0.207575954075161	13	0.0169150631152153	0.0516719526333788	0.0843508570916151	0.0174346326732461	0.0260732147667103
ENSG00000183628.12	DGCR6	0.5	0.939835238394534	10	0.22987083779375	9	0.0262258942150432	0.0375224118224342	0.0964546502130914	0.0277113130798811	0.00491377214090508
ENSG00000100033.16	PRODH	0.5	0.942073615745232	10	0.210745326477992	10	0.0318652953734764	0.0469470160308166	0.0992280285142654	0.0341096584733973	0.00177429304995694
ENSG00000237517.9	DGCR5	0.5	0.97893255268882	5	0.224419541185568	8	0.00374784583030725	0.0228108105036617	0.0425244008379447	0.00146929861902974	0.519990345973809
ENSG00000273032.1	DGCR9	0.5	0.717912706646274	20	0.168041568499185	17	0.25481631069668	0.148101459759282	0.32480549034597	0.263218806740718	1.80644388294031e-20
ENSG00000070413.19	DGCR2	0.5	0.817909305822677	15	0.228621071149352	6	0.140670996994098	0.0692892825890793	0.178349556203175	0.158856637796303	2.98433766441497e-12
ENSG00000273311.1	DGCR11	0.5	0.718647940339413	19	0.200247005258403	13	0.279710000402246	0.0852035999330192	0.31111338791595	0.271753571872861	3.4402169843424e-21
ENSG00000281530.1	DGCR12	0.5	0.93625810666026	10	0.202687983197612	17	0.031052166599692	0.0816612515922695	0.138554856713427	0.0358096527692135	0.00135547983590438
ENSG00000223461.1	AC004471.9	0.5	0.971720973440327	1	0.327302798051706	0	NA	NA	NA	NA	NA
ENSG00000272682.1	AC004471.10	0.5	0.975466523395029	1	0.321376336730926	0	NA	NA	NA	NA	NA
