geneid	transid	genename	gene_type	chr	start	end	anno	direction
ENSG00000277248.1		U2	snRNA	chr22	10736171	10736283	gene	-
ENSG00000283047.1		FRG1FP	unprocessed_pseudogene	chr22	10939388	10961338	gene	-
ENSG00000279973.2		SC22CB-56B3.1	lincRNA	chr22	11066418	11068174	gene	+
ENSG00000226444.2		ACTR3BP6	processed_pseudogene	chr22	11124337	11125705	gene	+
ENSG00000276871.1		5_8S_rRNA	rRNA	chr22	11249809	11249959	gene	-
ENSG00000283023.1		FRG1GP	unprocessed_pseudogene	chr22	12602466	12626642	gene	+
ENSG00000276138.1		U6	snRNA	chr22	15273855	15273961	gene	+
ENSG00000280341.1		LA16c-60D12.1	lincRNA	chr22	15282557	15288670	gene	-
ENSG00000236235.1		LA16c-13E4.3	unprocessed_pseudogene	chr22	15290718	15297196	gene	+
ENSG00000279442.1		LA16c-60D12.2	lincRNA	chr22	15298378	15304556	gene	-
ENSG00000184624.4		ZNF72P	unprocessed_pseudogene	chr22	15326037	15343065	gene	-
ENSG00000236097.1		BNIP3P2	processed_pseudogene	chr22	15349467	15350043	gene	+
ENSG00000236831.1		YME1L1P1	unprocessed_pseudogene	chr22	15489990	15492564	gene	+
ENSG00000130538.4		OR11H1	protein_coding	chr22	15528158	15529139	gene	+
ENSG00000237299.1		LA16c-60G3.6	unprocessed_pseudogene	chr22	15541436	15578006	gene	+
ENSG00000235759.1		ARHGAP42P3	processed_pseudogene	chr22	15550904	15553838	gene	-
ENSG00000233408.1		LA16c-23H5.4	antisense	chr22	15557577	15560694	gene	-
ENSG00000215268.3		LA16c-60G3.8	processed_pseudogene	chr22	15562017	15564276	gene	-
ENSG00000213727.3		LA16c-60G3.7	processed_pseudogene	chr22	15572089	15573265	gene	-
ENSG00000230643.1		LA16c-60G3.5	unprocessed_pseudogene	chr22	15588361	15588478	gene	+
ENSG00000230471.1		LA16c-2F2.8	lincRNA	chr22	15600908	15604882	gene	-
ENSG00000231565.1		NEK2P2	processed_pseudogene	chr22	15611759	15613096	gene	-
ENSG00000226474.1		LA16c-2F2.5	unprocessed_pseudogene	chr22	15615402	15615578	gene	-
ENSG00000224435.2		NF1P6	unprocessed_pseudogene	chr22	15622601	15632051	gene	-
ENSG00000234381.1		MED15P7	unprocessed_pseudogene	chr22	15635180	15644330	gene	-
ENSG00000198062.14		POTEH	protein_coding	chr22	15690026	15721631	gene	+
ENSG00000236666.1		POTEH-AS1	antisense	chr22	15699361	15703403	gene	-
ENSG00000212216.1		RNU6-816P	snRNA	chr22	15701459	15701565	gene	+
ENSG00000241838.3		LA16c-3G11.7	processed_pseudogene	chr22	15721486	15722608	gene	+
ENSG00000225255.6		LINC01297	lincRNA	chr22	15746630	15778297	gene	+
ENSG00000235992.1		GRAMD4P2	processed_pseudogene	chr22	15749156	15750825	gene	-
ENSG00000206195.10		DUXAP8	processed_transcript	chr22	15784959	15829984	gene	+
ENSG00000271127.1		LL22NC03-N64E9.1	sense_intronic	chr22	15796959	15798346	gene	+
ENSG00000232775.6		BMS1P22	transcribed_unprocessed_pseudogene	chr22	15805263	15820884	gene	-
ENSG00000272872.1		LL22NC03-N14H11.1	sense_intronic	chr22	15823197	15823890	gene	+
ENSG00000271672.1		DUXAP8	transcribed_processed_pseudogene	chr22	15826566	15827187	gene	+
ENSG00000223875.2		NBEAP3	unprocessed_pseudogene	chr22	15852990	15893942	gene	+
ENSG00000215270.3		LA16c-60H5.7	processed_pseudogene	chr22	15854195	15855243	gene	-
ENSG00000229286.1		LA16c-4G1.4	unprocessed_pseudogene	chr22	15901791	15901911	gene	+
ENSG00000233866.1		LA16c-4G1.3	lincRNA	chr22	15914721	15915800	gene	-
ENSG00000278188.1		U6	snRNA	chr22	16141767	16141872	gene	+
ENSG00000225293.1		ABCD1P4	unprocessed_pseudogene	chr22	16387694	16390887	gene	+
ENSG00000226160.1		LA16c-17H1.3	processed_pseudogene	chr22	16405330	16405417	gene	+
ENSG00000229658.1		PABPC1P9	unprocessed_pseudogene	chr22	16423943	16426031	gene	+
ENSG00000227367.1		SLC9B1P4	unprocessed_pseudogene	chr22	16428947	16476870	gene	-
ENSG00000280263.1		ACTR3BP2	processed_pseudogene	chr22	16486985	16488322	gene	+
ENSG00000235969.1		CHEK2P4	unprocessed_pseudogene	chr22	16503304	16509475	gene	+
ENSG00000273362.1		KB-67B5.17	lincRNA	chr22	16521059	16527237	gene	+
ENSG00000233995.1		KB-67B5.12	unprocessed_pseudogene	chr22	16572027	16574637	gene	+
ENSG00000239435.2		KCNMB3P1	transcribed_unprocessed_pseudogene	chr22	16575363	16582707	gene	-
ENSG00000198445.4		CCT8L2	protein_coding	chr22	16590751	16592810	gene	-
ENSG00000240122.1		FABP5P11	processed_pseudogene	chr22	16595089	16595485	gene	-
ENSG00000100181.22		TPTEP1	transcribed_unprocessed_pseudogene	chr22	16601887	16698742	gene	+
ENSG00000283633.1		AC005301.9	lincRNA	chr22	16601911	16615111	gene	+
ENSG00000267338.1		KB-7G2.9	lincRNA	chr22	16616170	16617114	gene	+
ENSG00000249288.1		SLC25A15P5	unprocessed_pseudogene	chr22	16645695	16646581	gene	-
ENSG00000249263.2		PARP4P3	transcribed_unprocessed_pseudogene	chr22	16653892	16659628	gene	-
ENSG00000189295.13		ANKRD62P1-PARP4P3	processed_transcript	chr22	16654066	16675540	gene	-
ENSG00000259271.1		ANKRD62P1	transcribed_unprocessed_pseudogene	chr22	16671090	16679493	gene	-
ENSG00000273244.1		KB-7G2.8	processed_transcript	chr22	16676016	16694648	gene	-
ENSG00000241717.1		VWFP1	transcribed_unprocessed_pseudogene	chr22	16690103	16704477	gene	-
ENSG00000235343.1		LINC01665	lincRNA	chr22	16746869	16748645	gene	-
ENSG00000172967.7		XKR3	protein_coding	chr22	16783412	16821699	gene	-
ENSG00000229027.3		HSFY1P1	transcribed_unprocessed_pseudogene	chr22	16827474	16829335	gene	+
ENSG00000234121.1		GPM6BP3	processed_pseudogene	chr22	16837522	16837666	gene	+
ENSG00000283535.1		AC007064.29	unprocessed_pseudogene	chr22	16844399	16846357	gene	+
ENSG00000237835.1		AC007064.22	processed_pseudogene	chr22	16855804	16856162	gene	+
ENSG00000220248.1		ZNF402P	processed_pseudogene	chr22	16857619	16860718	gene	-
ENSG00000237689.1		AC007064.24	lincRNA	chr22	16869478	16871126	gene	+
ENSG00000228122.1		MTND1P17	processed_pseudogene	chr22	16876218	16876421	gene	-
ENSG00000237358.1		AC007064.25	processed_pseudogene	chr22	16876552	16876902	gene	-
ENSG00000225480.1		AC006548.19	processed_pseudogene	chr22	16897445	16897546	gene	+
ENSG00000230481.2		IGKV1OR22-5	IG_V_pseudogene	chr22	16904219	16904696	gene	-
ENSG00000253691.2		IGKV2OR22-4	IG_V_pseudogene	chr22	16914235	16914981	gene	-
ENSG00000253460.2		IGKV2OR22-3	IG_V_pseudogene	chr22	16921443	16922173	gene	-
ENSG00000254264.2		IGKV3OR22-2	IG_V_pseudogene	chr22	16925952	16926444	gene	-
ENSG00000253481.2		IGKV1OR22-1	IG_V_pseudogene	chr22	16933521	16934003	gene	-
ENSG00000280156.1		AC006548.28	sense_overlapping	chr22	16950086	17034417	gene	-
ENSG00000215568.7		GAB4	protein_coding	chr22	16961936	17008222	gene	-
ENSG00000270226.1		AC006548.26	processed_pseudogene	chr22	17012404	17012932	gene	+
ENSG00000276400.1		VN1R9P	processed_pseudogene	chr22	17021398	17022570	gene	-
ENSG00000237438.7		CECR7	transcribed_unprocessed_pseudogene	chr22	17036570	17060825	gene	+
ENSG00000273203.1		AC006946.16	lincRNA	chr22	17067821	17070675	gene	+
ENSG00000273442.1		AC006946.17	lincRNA	chr22	17080701	17081456	gene	+
ENSG00000177663.13		IL17RA	protein_coding	chr22	17084954	17115694	gene	+
ENSG00000235328.1		AC006946.12	processed_pseudogene	chr22	17093612	17093939	gene	-
